species	temperature	light	growthrate
Fragilaria	10	152.5253	0.1725275
Fragilaria	10	183.8384	0.1384615
Fragilaria	10	213.1313	0.08571429
Fragilaria	10	282.8283	0.06043956
Fragilaria	10	382.8283	0.07912088
Fragilaria	10	402.0202	0.04285714
Fragilaria	10	521.2121	0.05604396
Fragilaria	10	622.2222	-0.03186813
Fragilaria	10	691.9192	-0.01208791
Fragilaria	15	19.19192	0.2010989
Fragilaria	15	43.43434	0.2263736
Fragilaria	15	63.63636	0.2659341
Fragilaria	15	93.93939	0.2758242
Fragilaria	15	130.303	0.2857143
Fragilaria	15	154.5455	0.2714286
Fragilaria	15	184.8485	0.1912088
Fragilaria	15	215.1515	0.1659341
Fragilaria	15	284.8485	0.1395604
Fragilaria	15	383.8384	0.1285714
Fragilaria	15	404.0404	0.1010989
Fragilaria	15	523.2323	0.02527473
Fragilaria	15	623.2323	0.002197802
Fragilaria	15	692.9293	0.002197802
Fragilaria	20	17.17172	0.1813187
Fragilaria	20	40.40404	0.2934066
Fragilaria	20	60.60606	0.3846154
Fragilaria	20	90.90909	0.4065934
Fragilaria	20	128.2828	0.4296703
Fragilaria	20	151.5152	0.4208791
Fragilaria	20	181.8182	0.4120879
Fragilaria	20	213.1313	0.3769231
Fragilaria	20	282.8283	0.3087912
Fragilaria	20	382.8283	0.289011
Fragilaria	20	402.0202	0.2208791
Fragilaria	20	521.2121	0.1725275
Fragilaria	20	621.2121	0.06923077
Fragilaria	20	690.9091	0.08571429
Fragilaria	25	11.29653	0.1692857
Fragilaria	25	40.05135	0.3642857
Fragilaria	25	60.5905	0.4339286
Fragilaria	25	90.37227	0.4896429
Fragilaria	25	128.3697	0.5303571
Fragilaria	25	153.0167	0.5603571
Fragilaria	25	182.7985	0.5367857
Fragilaria	25	212.5802	0.5796429
Fragilaria	25	281.3864	0.4510714
Fragilaria	25	381.0013	0.405
Fragilaria	25	401.5404	0.3664286
Fragilaria	25	523.7484	0.3932143
Fragilaria	25	624.3902	0.3107143
Fragilaria	25	693.1964	0.1403571
Fragilaria	30	16.43132	0.2646429
Fragilaria	30	42.10526	0.3482143
Fragilaria	30	61.61746	0.3225
Fragilaria	30	92.42619	0.3664286
Fragilaria	30	128.3697	0.3728571
Fragilaria	30	153.0167	0.4135714
Fragilaria	30	183.8254	0.4328571
Fragilaria	30	212.5802	0.4071429
Fragilaria	30	283.4403	0.3642857
Fragilaria	30	382.0282	0.2067857
Fragilaria	30	401.5404	0.2185714
Fragilaria	30	523.7484	0.1725
Fragilaria	30	625.4172	0.1478571
Fragilaria	30	693.1964	0.01607143
Fragilaria	35	11.29653	0.1510714
Fragilaria	35	35.94352	0.2121429
Fragilaria	35	57.50963	0.1746429
Fragilaria	35	86.26444	0.1853571
Fragilaria	35	122.208	0.1607143
Fragilaria	35	147.8819	0.1542857
Fragilaria	35	176.6367	0.02464286
Fragilaria	35	208.4724	0.1467857
Fragilaria	35	276.2516	0.0075
Fragilaria	35	376.8935	0.006428571
Fragilaria	35	397.4326	0.006428571
Fragilaria	35	518.6136	0.005357143
Fragilaria	35	620.2824	0.004285714
Fragilaria	35	691.1425	0.004285714
Staurastrum	10	16.2162162162162	0.0135922330097089
Staurastrum	10	37.8378378378378	0.0475728155339807
Staurastrum	10	62.1621621621622	0.0611650485436893
Staurastrum	10	89.1891891891892	0.10873786407767
Staurastrum	10	127.027027027027	0.21747572815534
Staurastrum	10	154.054054054054	0.339805825242718
Staurastrum	10	181.081081081081	0.380582524271845
Staurastrum	10	208.108108108108	0.394174757281553
Staurastrum	10	281.081081081081	0.258252427184466
Staurastrum	10	378.378378378378	0.339805825242718
Staurastrum	10	521.621621621621	0.231067961165048
Staurastrum	10	618.918918918919	0.224271844660194
Staurastrum	10	686.486486486486	0.251456310679612
Staurastrum	15	43.2432432432433	0.169902912621359
Staurastrum	15	62.1621621621622	0.299029126213592
Staurastrum	15	127.027027027027	0.530097087378641
Staurastrum	15	151.351351351351	0.666019417475728
Staurastrum	15	181.081081081081	0.686407766990291
Staurastrum	15	210.810810810811	0.693203883495146
Staurastrum	15	283.783783783784	0.611650485436893
Staurastrum	15	381.081081081081	0.645631067961165
Staurastrum	15	400	0.632038834951456
Staurastrum	15	521.621621621621	0.598058252427184
Staurastrum	15	618.918918918919	0.598058252427184
Staurastrum	20	40.5405405405405	0.203883495145631
Staurastrum	20	56.7567567567568	0.251456310679612
Staurastrum	20	127.027027027027	0.754368932038835
Staurastrum	20	148.648648648649	0.754368932038835
Staurastrum	20	181.081081081081	0.863106796116505
Staurastrum	20	208.108108108108	0.931067961165049
Staurastrum	20	281.081081081081	0.822330097087379
Staurastrum	20	378.378378378378	0.85631067961165
Staurastrum	20	397.297297297297	0.781553398058253
Staurastrum	20	518.918918918919	0.496116504854369
Staurastrum	20	618.918918918919	0.659223300970874
Staurastrum	20	689.189189189189	0.543689320388349
Staurastrum	25	19.047619047619	0.0686274509803922
Staurastrum	25	43.5374149659864	0.336274509803921
Staurastrum	25	57.1428571428571	0.651960784313726
Staurastrum	25	130.612244897959	1.02941176470588
Staurastrum	25	149.659863945578	1.26960784313725
Staurastrum	25	185.034013605442	1.23529411764706
Staurastrum	25	214.965986394558	1.27647058823529
Staurastrum	25	285.714285714286	1.11176470588235
Staurastrum	25	282.993197278912	1.12549019607843
Staurastrum	25	383.673469387755	1.0156862745098
Staurastrum	25	405.442176870748	1.11862745098039
Staurastrum	25	525.170068027211	1.07058823529412
Staurastrum	25	628.571428571429	1.05
Staurastrum	25	696.598639455782	1.05686274509804
Staurastrum	30	21.7687074829931	0.212745098039216
Staurastrum	30	43.5374149659864	0.446078431372549
Staurastrum	30	155.102040816327	1.23529411764706
Staurastrum	30	187.755102040816	1.15294117647059
Staurastrum	30	217.687074829932	0.974509803921569
Staurastrum	30	282.993197278912	0.953921568627451
Staurastrum	30	527.891156462585	0.953921568627451
Staurastrum	30	628.571428571429	0.830392156862745
Staurastrum	30	699.319727891156	0.816666666666667
Staurastrum	35	19.047619047619	0.0205882352941177
Staurastrum	35	40.8163265306122	0.0411764705882353
Staurastrum	35	62.5850340136054	0.43921568627451
Staurastrum	35	89.7959183673468	0.693137254901961
Staurastrum	35	122.448979591837	0.796078431372549
Staurastrum	35	152.380952380952	0.864705882352941
Staurastrum	35	185.034013605442	0.864705882352941
Staurastrum	35	214.965986394558	0.830392156862745
Staurastrum	35	280.272108843537	0.459803921568628
Staurastrum	35	380.952380952381	0.52843137254902
Staurastrum	35	405.442176870748	0.398039215686275
Staurastrum	35	522.448979591837	0.17156862745098
Staurastrum	35	623.12925170068	0.0480392156862744
Staurastrum	35	691.156462585034	0.0480392156862744
Synechocystis	10	13.5593220338983	0.241379310344827
Synechocystis	10	48.8135593220339	0.372413793103448
Synechocystis	10	75.9322033898305	0.324137931034483
Synechocystis	10	225.084745762712	0.151724137931035
Synechocystis	10	352.542372881356	0.0827586206896552
Synechocystis	10	455.593220338983	0.0827586206896552
Synechocystis	10	626.440677966102	0.0689655172413793
Synechocystis	10	724.067796610169	0.0275862068965517
Synechocystis	15	21.6949152542373	0.275862068965517
Synechocystis	15	54.2372881355932	0.462068965517241
Synechocystis	15	75.9322033898305	0.544827586206897
Synechocystis	15	227.796610169492	0.289655172413793
Synechocystis	15	355.254237288136	0.241379310344827
Synechocystis	15	455.593220338983	0.255172413793103
Synechocystis	15	629.152542372881	0.220689655172414
Synechocystis	15	726.779661016949	0.117241379310345
Synechocystis	20	18.9830508474576	0.462068965517241
Synechocystis	20	48.8135593220339	0.558620689655172
Synechocystis	20	73.2203389830508	0.606896551724138
Synechocystis	20	222.372881355932	0.517241379310345
Synechocystis	20	352.542372881356	0.517241379310345
Synechocystis	20	452.881355932203	0.462068965517241
Synechocystis	20	626.440677966102	0.462068965517241
Synechocystis	20	724.067796610169	0.227586206896552
Synechocystis	25	40.8163265306124	0.612935323383085
Synechocystis	25	54.4217687074831	0.703482587064677
Synechocystis	25	70.748299319728	0.842786069651741
Synechocystis	25	217.687074829932	0.66865671641791
Synechocystis	25	351.020408163265	0.71044776119403
Synechocystis	25	454.421768707483	0.571144278606965
Synechocystis	25	625.850340136054	0.571144278606965
Synechocystis	25	726.530612244898	0.383084577114428
Synechocystis	30	46.2585034013607	0.661691542288557
Synechocystis	30	51.700680272109	1.09353233830846
Synechocystis	30	76.1904761904763	1.12835820895522
Synechocystis	30	223.12925170068	1.14228855721393
Synechocystis	30	353.74149659864	1.04477611940298
Synechocystis	30	451.700680272109	0.94726368159204
Synechocystis	30	628.571428571429	0.856716417910448
Synechocystis	30	721.08843537415	0.571144278606965
Synechocystis	35	21.7687074829933	0.773134328358209
Synechocystis	35	43.5374149659865	0.766169154228856
Synechocystis	35	51.700680272109	1.14925373134328
Synechocystis	35	68.0272108843538	1.1910447761194
Synechocystis	35	351.020408163265	1.11442786069652
Synechocystis	35	454.421768707483	1.05870646766169
Synechocystis	35	625.850340136054	1.05174129353234
Synechocystis	35	723.809523809524	0.71044776119403
